id,hersteller,slug,produkte,herstelleranschrift,eu_verantwortlicher
1775,"Miquel y Costas & Miquel, S.A.",miquel-y-costas-miquel-s-a,8,"Miquel y Costas & Miquel, S.A., Tuset 8-10, 7ª planta, 08006 Barcelona, Spanien, myc@miquelycostas.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
5421,MIRON Violetglass BV,miron-violetglass-bv,4,"MIRON Violetglass B.V., Stephensonstraat 57, 7903 AS Hoogeveen, Niederlande, info@miron.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
11572,Mosca Seeds,mosca-seeds,1,"Mosca Seeds, P.O. Box 101447, Denver, CO 80250-1447, USA, E-Mail: info@moscaseeds.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16490,Nachtschatten Verlag,nachtschatten-verlag,11,"Nachtschatten Verlag, Kronengasse 11, 4500 Solothurn, Zürich, Schweiz, Homepage: https://nachtschatten.ch/","Bloomtech GmbH, Mittelweg 3, 37154 Northeim, Niedersachsen, Deutschland, E-Mail: mail@bloomtech.de, Homepage: https://www.bloomtech.de"
7425,Near Dark GmbH,near-dark-gmbh,3,"Near Dark GmbH, Bonner Str. 11a, 53773 Hennef, Deutschland, info@neardark.de",
8580,Nero GmbH,nero-gmbh,2,"Nero GmbH, Am Mittleren Moos 48, 86167 Augsburg, Deutschland, E-Mail: info@dryrocket.com, Web: https://dryrocket.com",
16514,nestle,nestle,0,"Nestlé Deutschland AG, Lyoner Straße 23, 60528 Frankfurt am Main, Deutschland, Telefon: +49 69 6671-0, E-Mail: verbraucherservice@de.nestle.com, Web: https://www.nestle.de",
6551,Neudorff GmbH KG,neudorff-gmbh-kg,4,"W. Neudorff GmbH KG, An der Mühle 3, 31860 Emmerthal, Deutschland, info@neudorff.de",
16345,New Millenium Garden,new-millenium-garden,1,"New Millenium Garden, 16359 County Road S, 80701 Fort Morgan, Vereinigte Staaten, Web: https://newmilleniumnutrients.com","Bloomtech GmbH, Mittelweg 3, 37154 Northeim, Deutschland, E-Mail: mail@bloomtech.de, Web: https://www.bloomtech.de"
8030,New Ways BV,new-ways-bv,46,"New Ways BV, Gyroscoopweg 2N, 1042AB Amsterdam, Niederlande, info@thenewways.com",
1831,Next Tröber Europe GmbH & Co. KG,next-troeber-europe-gmbh-co-kg,1,"Next Tröber Europe GmbH & Co. KG, Volksdorfer Weg 186, 22393 Hamburg, Deutschland, info@troeber.com",
16498,Nohlex,nohlex,5,"Nohlex, Eichenweg 8, 29690 Buchholz, Niedersachsen, Deutschland, E-Mail: info@nohlex.de, Homepage: https://www.nohlex.de",
4387,Norddampf,norddampf,14,"Norddampf (Inhaber: Timo Ellermann), Atlasstraße 3, 27777 Ganderkesee, Deutschland, wecare@norddampf.com",
16496,Nutriculture,nutriculture,2,"Nutriculture, Meadows Road 36, S63 5DJ Rotherham, Vereinigtes Königreich, Web: https://www.nutriculture.com","HPS, Route de Lanrinou 3, 29800 Landerneau, Frankreich, E-Mail: commande@highproshop.fr, Web: https://highproshop.fr"
5419,OCB-Vertriebs-GmbH,ocb-vertriebs-gmbh,3,"OCB-Vertriebs-GmbH, Lise-Meitner-Str. 2-4, 52525 Heinsberg, Deutschland, website@ocb.de",
13001,On top trade s.r.o.,on-top-trade-s-r-o,1,"On top trade s.r.o., B. Smetany 29, 370 01 České Budějovice, Tschechien",
16500,Ona (Mariner Industries),ona-mariner-industries,0,"Ona, Estate Road 6, DN31 2TG Grimsby, Vereinigtes Königreich, E-Mail: info@marinerpackaging.co.uk, Homepage: https://www.marinerindustries.com","Bloomtech GmbH, Mittelweg 3, 37154 Northeim, Niedersachsen, Deutschland, E-Mail: mail@bloomtech.de, Homepage: https://www.bloomtech.de"
4693,PALACIO CZ s.r.o.,palacio-cz-s-r-o,29,"Palacio CZ s.r.o., Berounská 1, 273 51 Kyšice, Tschechien, info@palacio.cz","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
6663,Paradise Seeds,paradise-seeds,17,"Paradise Seeds B.V., Gravenstraat 12, 1012 NM Amsterdam, Niederlande, KvK 33285116, E-Mail: info@paradise-seeds.com",
16045,Phonic Trap,phonic-trap,7,"Phonic Trap, Rte de Lanrinou, 29800 Landerneau, Frankreich, Web: https://highproshop.fr",
3732,Plagron,plagron,44,"Plagron (Bertels BV), PO Box 10188, 6000 GD Weert, Niederlande / Ommelpad 2, 6035 PC Ospel, Niederlande, servicedesk@plagron.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16493,Plant!t,plantt,1,"Plant!t, Unit 19 Lifford Way, CV3 2RN Coventry, Vereinigtes Königreich, E-Mail: webmaster@hydrogarden.co.uk, Homepage: http://www.plantit-growit.com","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Berlin, Deutschland, Homepage: https://www.growin.de/"
16347,"Plantation Products, LLC",plantation-products-llc,2,"Plantation Products, LLC, 12610 Saticoy St. 202S, 91605 North Hollywood, Vereinigte Staaten, Web: https://superthrive.com","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Deutschland, Web: https://www.growin.de"
16532,Pollinator Company,pollinator-company,2,"Pollinator Company, Grasweg 41D, 1031 HW Amsterdam, Niederlande, Telefon: +31 20 4708889, E-Mail: info@pollinator.nl, Web: https://www.pollinator.nl",
8697,PotKing,potking,6,"PotKing, Wallenroder Straße 7-9, 13435 Berlin, Deutschland, E-Mail: info@growin.de, Web: https://potking.nl",
16012,Prima Klima,prima-klima,15,"Prima Klima, Zámostí 594, 338 28 Radnice, Tschechien, Web: https://primaklima.com","PRIMA KLIMA TRADING CZ, Zámostí 594, 338 28 Radnice, Tschechien"
1975,"PURIZE® Filters GmbH & Co.KG,",purize-filters-gmbh-co-kg,58,"PURIZE® Filters GmbH & Co. KG, Calauer Straße 32, 01983 Großräschen, Deutschland, support@purize-filters.com",
12995,PuroCuro,purocuro,1,"PuroCuro, Av. Pais Valenciano 43, 03580 Alfaz del Pi (Alicante), Spanien, Web: https://purocuro.com",
8578,Purpl Scientific,purpl-scientific,1,"Purpl Scientific, 360 N Boyle Ave, St. Louis, MO 63108, USA, Web: https://www.purplscientific.com","Delta9 Analytics, Lijndonk 4, 4825 BG Breda, Niederlande, E-Mail: info@delta9-analytics.com, Web: https://delta9-analytics.com"
7689,Pyramid Seeds,pyramid-seeds,1,"Imagine Grow SL (Pyramid Seeds), Avinguda Carrilet 327 bajos, 08907 L'Hospitalet de Llobregat, Spanien, CIF B66051434, Telefon: +34 664 367577, E-Mail: info@pyramidseeds.news, Web: https://www.pyramidseeds.com",
6654,Quest Climate,quest-climate,0,"Quest Climate, 4201 Lien Rd, Madison WI 53704, Vereinigte Staaten, Web: https://questclimate.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
11569,RBA,rba,1,,
16349,Rock Holdings Pty Ltd,rock-holdings-pty-ltd,3,"Rock Holdings Pty Ltd, C/- Clarendon Post Office, 5157 Clarendon S.A., Australien, Telefon: +61 416 199586, Web: https://www.rocknutrients.com.au","Dutch Garden EU, Strobelgasse 2/6, 1010 Wien, Österreich, Web: https://www.dgsupplies.eu"
6229,Root Pouch,root-pouch,1,"Root Pouch, 1900 NE 25th Avenue, Suite 4, Hillsboro, OR 97124, USA, info@rootpouch.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
12721,ROOT!T,roott,5,"HydroGarden Ltd (ROOT!T), 2 Progress Way, Coventry CV3 2NT, Vereinigtes Königreich, E-Mail: sales@hydrogarden.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16484,RoyalRoom,royalroom,1,"RoyalRoom, Grochowska 23/31, 04-186 Warschau, Polen, E-Mail: info@royalroom.eu, Homepage: https://www.royalroom.eu",
6973,Ruperts Farm SL,ruperts-farm-sl,44,"Ruperts Farm SL, Calle Brosquill 16, Polígono 7, 46540 El Puig (Valencia), Spanien, CIF B98931173, E-Mail: support@anesiaseeds.com, Web: https://anesiaseeds.com",
16306,S&R Organics,sr-organics,7,"S&R Organics, Bahnhofstr. 3, 66763 Dillingen/Saar, Deutschland, Web: https://sr-organics.com",
1899,SANlight GmbH,sanlight-gmbh,54,"SANlight GmbH, Montafonerstraße 14, 6780 Schruns, Österreich, support@sanlight.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
8842,Schumann Naturdünger,schumann-naturduenger,1,"Schumann Naturdünger, Dietrich-von-Schenk-Straße 9, 93339 Riedenburg, Deutschland, USt-IdNr. DE342586264, Web: https://www.naturduenger-schumann.de",
11519,Senkap,senkap,5,"Senkap Plastik Ltd. Şti., Buyukkayacik OSB Mah. 503. Sokak No. 15, 42250 Selçuklu/Konya, Türkei, E-Mail: export@senkap.com, Web: https://senkap.com","Ferna Trade, Industriestraße 3, 41334 Nettetal, Deutschland, E-Mail: info@fernatrade.com"
6756,Sensi Seeds,sensi-seeds,3,"Sensi Seed B.V., Johann Siegerstraat 20, 1096 BH Amsterdam, Niederlande, KvK 24191871, E-Mail: info@sensiseeds.com",
6435,Shenzhen Mei Zhi Guangdian Limited,shenzhen-mei-zhi-guangdian-limited,111,"Shenzhen Mei Zhi Guangdian Limited, 301, Gebäude D, Jingtie Industrial Park (l-Type Plant), Nr. 49 Changjiangpu Road, Heao Community, Yuanshan Street, 518115 Shenzhen, Guangdong, China, E-Mail: info@spiderfarmer.eu","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
6565,Snorkel Spain S.L.,snorkel-spain-s-l,96,"Snorkel Spain S.L., C/ Vilar d’Abdelà 5 (nave 1), 08170 Montornès del Vallès, Spanien, support@royalqueenseeds.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
6649,Solux,solux,0,"Solux Lighting (Polen), Ul. Żelazna 9/12U, 15-297 Poland, sklep@solux.lighting","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16495,Speedgrow,speedgrow,2,"Speedgrow, Spoorlaan Noord 175, 6042 AB Roermond, Limburg, Niederlande, E-Mail: info@agra-wool.nl, Homepage: https://www.agra-wool.nl",
7044,SSR Produkt GmbH & Co. KG,ssr-produkt-gmbh-co-kg,2,"SSR Produkt GmbH & Co. KG, Gerhard-Stalling-Str. 57, 26135 Oldenburg, Deutschland, service@digitalwaagen.de",
7811,STELER GmbH,steler-gmbh,35,"STELER GmbH, Stefan Preßler, Normstahlstraße 1-3, 85368 Moosburg, Deutschland, Telefon: +4981612320496, E-Mail: info@graveda.de",
8031,STORZ & BICKEL GmbH,storz-bickel-gmbh,21,"STORZ & BICKEL GmbH, Grubenäcker 5 bis 9, 78532 Tuttlingen, Deutschland, info@storz-bickel.com",
6566,Sweedbar,sweedbar,80,"Sweedbar, Waldhausener Straße 86a, 41061 Mönchengladbach, Deutschland, info@sweedbar.de",
11594,Sweet Seeds,sweet-seeds,1,"Sweet Seeds S.L., Calle Reverendo José María Pinazo 9 bajo, 46020 Valencia, Spanien, CIF B97811616, Telefon: +34963404289, E-Mail: info@sweetseeds.es",
14050,Terphogz,terphogz,1,"Terphogz, 8099 Trenton St, Minneapolis MN 55406, Vereinigte Staaten, Web: https://terphogz.com","Hemp Group Int. GmbH, Verschwisterungsring 93b, 21502 Geesthacht, Deutschland, Telefon: +49 89 30707996 (Mo–Fr 10:00–17:00 Uhr), E-Mail: b2b@hempgroup.de"
1473,Terra Aquatica,terra-aquatica,48,"Terra Aquatica, 4 boulevard du Biopole, 32500 Fleurance, Frankreich, info@terraaquatica.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16530,"Terraplanet del Sur, S.L.",terraplanet-del-sur-s-l,28,"Terraplanet del Sur, S.L., C/ Ayala 11, 1ª Planta, 28001 Madrid, Spanien, E-Mail: info@qnubu.com",
16531,The Caledonian Tree Company Limited,the-caledonian-tree-company-limited,9,"The Caledonian Tree Company Limited, Cowbraehill, Tynehead, EH37 5XT Pathhead, Midlothian, Vereinigtes Königreich, E-Mail: garden@air-pot.com","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Deutschland, Homepage: https://www.growin.de/"
8855,Tightpac Europe,tightpac-europe,3,"Tightpac Europe, Damstraat 14, 1012 JM Amsterdam, Niederlande, E-Mail: info@tightpac.eu",
6652,TRAFIKA,trafika,0,"TRAFIKA, Office 25, Corniche Business Center, Abu Dhabi, Vereinigte Arabische Emirate; Bristol Business Center, Office 5, Dubai, Vereinigte Arabische Emirate; projects@trafika.ae","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16481,Trimpro,trimpro,0,"Trimpro (Biofloral Inc.), 675 montée St-François, Laval (Québec) H7C 2S8, Kanada, Telefon: +1 877 384 9376, E-Mail: service@biofloral.com, Web: https://trimpro.ca","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Berlin, Deutschland, Homepage: https://www.growin.de/"
4705,TUX Smoking GmbH,tux-smoking-gmbh,4,"TUX Smoking GmbH, Herbststraße 53/28, 1160 Wien, Österreich, info@hybrid-filter.com","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
5189,Vandenberg Special Products B.V.,vandenberg-special-products-b-v,1,"Vandenberg Special Products B.V., Louis Pasteurstraat 17, 3261 LZ Oud-Beijerland, Niederlande, info@hanfjack.de","Lauwe Zaunreither GbR, Stefan Zaunreither, Kratzmühlstraße 14, 92339 Beilngries, Deutschland, Telefon: +4917676957009, E-Mail: info@hanfjack.de"
16509,Villakha Enterprises Inc.,villakha-enterprises-inc,18,"Villakha Enterprises Inc., 11442 Kingston Street, V2X 0Y5 Maple Ridge BC, Kanada, Web: https://www.villakha.ca","Grow In AG, Wallenroder Straße 7-9, 13435 Berlin, Berlin, Deutschland, Homepage: https://www.growin.de/"
8487,Weedo Lifestyle & Media GmbH,weedo-lifestyle-media-gmbh,19,"Weedo Lifestyle & Media GmbH, Machtlfingerstraße 21, 81379 München, Deutschland, Telefon: +498930707996, E-Mail: info@hempcrew.de",
12719,WilTec Wildanger Technik GmbH,wiltec-wildanger-technik-gmbh,2,"WilTec Wildanger Technik GmbH, Königsbenden 12, 52249 Eschweiler, Deutschland, Telefon: +49 2403 977977-0, E-Mail: service@wiltec.info",
10969,Wizard Trees,wizard-trees,34,"Wizard Trees (Filifera, LLC), 1375 East 6th Street Unit 6, Los Angeles CA 90014, Vereinigte Staaten, Telefon: +1 747 230 6314, E-Mail: support@wizardtrees.com, Web: https://www.wizardtrees.com","Hemp Group Int. GmbH, Verschwisterungsring 93b, 21502 Geesthacht, Telefon: 089/30707996, E-Mail: b2b@hempgroup.de"
5425,Zippo GmbH,zippo-gmbh,43,"Zippo GmbH, Groendahlscher Weg 87, 46446 Emmerich, Deutschland, shop.de@zippo.com",
